"会話：ブルースライム" -> "Conversation: Blue Slime"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ブルースライム】" -> "【Blue Slime】"
"レッドスライムって、なんだか暑苦しい……" -> "Red slime is somewhat hot ..."
"【ブルースライム】" -> "【Blue Slime】"
"グリーンスライムは、いつも元気……" -> "Green Slime is always fine ......"
"【ブルースライム】" -> "【Blue Slime】"
"パープルスライムは、いつも苦労してる……" -> "Purple slime is always struggling ... ..."
"【ブルースライム】" -> "【Blue Slime】"
"ジェリー娘と仲良しなの。" -> "I am on good terms with Jerry Musume."
"一緒に散歩してるよ……" -> "We are taking a walk together ......"
"【ブルースライム】" -> "【Blue Slime】"
"水を汚す人間は、きらい……" -> "I do not want human beings to contaminate water ..."
"【ブルースライム】" -> "【Blue Slime】"
"どこかに行って……" -> "go away……"
"【ブルースライム】" -> "【Blue Slime】"
"乱暴な人間、きらい……" -> "Robust man, I hate ..."
"【ブルースライム】" -> "【Blue Slime】"
"にゅるにゅるするから……" -> "Because I will be turning on ... ..."
"【ブルースライム】" -> "【Blue Slime】"
"この泉の水は綺麗だから、大好き……" -> "Because the water of this fountain is beautiful, I love you ...."
"【ブルースライム】" -> "【Blue Slime】"
"静かに暮らしたいな……" -> "I want to live quietly ..."
"質問" -> "A question"
"【ブルースライム】" -> "【Blue Slime】"
"海が青いって、本当なの……？" -> "Is it true that the ocean is blue ...?"
"本当" -> "True"
"嘘" -> "Lie"
"海なんてない" -> "There is no sea"
"本当" -> "True"
"【ブルースライム】" -> "【Blue Slime】"
"それじゃあ、あたしは海と同じ色なんだ……" -> "Well then, I am the same color as the sea ...."
"ちょっと、嬉しい……" -> "I am a little happy ..."
"嘘" -> "Lie"
"【ブルースライム】" -> "【Blue Slime】"
"がっかり……" -> "Disappointed ......"
"海なんてない" -> "There is no sea"
"【ブルースライム】" -> "【Blue Slime】"
"嘘……" -> "Lie……"
"【ブルースライム】" -> "【Blue Slime】"
"青色って、どう思う……？" -> "What do you think of blue ...?"
"神秘的" -> "Mysterious"
"海の色" -> "Sea color"
"汚い" -> "dirty"
"神秘的" -> "Mysterious"
"【ブルースライム】" -> "【Blue Slime】"
"ちょっと嬉しい……" -> "I am a little happy ..."
"海の色" -> "Sea color"
"【ブルースライム】" -> "【Blue Slime】"
"海、見た事ないの。" -> "I have not seen the ocean."
"見てみたいな……" -> "I want to see ......"
"汚い" -> "dirty"
"【ブルースライム】" -> "【Blue Slime】"
"きらい……" -> "I hate it."
"【ブルースライム】" -> "【Blue Slime】"
"散歩してたら、知らない所に着いちゃうの……" -> "If I take a walk, I will reach an unknown place ..."
"よくあるよね？" -> "It is common, right?"
"ある" -> "is there"
"ない" -> "Absent"
"今がそうだ" -> "It is now"
"ある" -> "is there"
"【ブルースライム】" -> "【Blue Slime】"
"不思議だよね……" -> "It's strange……"
"ない" -> "Absent"
"【ブルースライム】" -> "【Blue Slime】"
"そう……" -> "so……"
"今がそうだ" -> "It is now"
"【ブルースライム】" -> "【Blue Slime】"
"ここに迷い込んじゃったの……？" -> "Did you get lost here ...?"
"じゃあ、諦めて。" -> "Well then, give up."
"【ブルースライム】" -> "【Blue Slime】"
"空の青色と海の青色って、どっちが綺麗……？" -> "Which is beautiful, sky blue and ocean blue ...?"
"空" -> "Sky"
"海" -> "Ocean"
"君の方が綺麗" -> "You are clearer"
"空" -> "Sky"
"【ブルースライム】" -> "【Blue Slime】"
