"基盤システム" -> "Infrastructure system"
"メモ欄読み込み" -> "Memo field reading"
"更新履歴" -> "Change log"
"トリス 統合A～E A" -> "Tris integration A to E A"
"■ DataManager" -> "■ DataManager"
"● 通常のデータベースEXをロード" -> "● Load normal database EX"
"● 戦闘テスト用のデータベースEXをロード" -> "● Load database EX for battle test"
"● 解析済みデータベースEXをセーブ" -> "● Save the analyzed database EX"
"をセーブしました" -> "I saved"
"● データクラスの一斉メモ欄解析処理" -> "● simultaneous memo column analysis of data class"
"スクリプト素材の関係でnote消しはNG" -> "Narrow note erase in relation to script material"
"○ 通常のデータベースをロード" -> "○ Load normal database"
"データベース読み込み時間は" -> "Database read time is"
"です" -> "is"
"○ 戦闘テスト用のデータベースをロード" -> "○ Load database for battle test"
"作成には通常データベースを使う" -> "Normally you use a database to create"
"データベース読み込み時間は" -> "Database read time is"
"です" -> "is"
"■ RPG" -> "■ RPG"
"● Mix" -> "● Mix"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"● 特徴配列（基本）" -> "● Feature array (basic)"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"○ 連続回数" -> "○ Continuous times"
"○ 使用効果" -> "○ Effect of use"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"○ 連続回数" -> "○ Continuous times"
"○ 使用効果" -> "○ Effect of use"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
"■ RPG" -> "■ RPG"
"● メモ欄解析処理" -> "● Memo column analysis processing"
"○ 特徴配列" -> "○ Feature array"
